media_id,filename,type,primary_topic,secondary_topics,documentary_significance,historical_date,date_ingested,archive_origin,batch_id,rights_status,social_ready,pitch_ready,quality_rating,sha256_hash,treatment_sections
CIC-HEL-018,US_226316_f0002_i0004a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-019,US_226316_f0002_i0006.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-020,US_226316_f0002_i0006a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-021,US_226316_f0002_i0007.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-022,US_226316_f0002_i0008.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-023,US_226316_f0002_i0008a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-024,US_226316_f0002_i0009.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-025,US_226316_f0002_i0009a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-026,US_226316_f0002_i0010.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-027,US_226316_f0002_i0010a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-028,US_226316_f0003_i0001.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-029,US_226316_f0003_i0002.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-030,US_226316_f0003_i0003.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-031,US_226316_f0003_i0003a.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
CIC-HEL-032,US_226316_f0003_i0004.jpg,Photograph,3-M_Y_Helene_Yacht,,4,,2026-06-07,Batch_Helene_Yacht,Batch_Helene_Yacht,pre_cleared,6,7,7,,
